row_id,repayment_rate
0,48.207135689096944
1,42.09460991601751
2,33.437983907515076
9,88.19625147704737
10,76.62822976641132
14,72.68242354089686
16,11.415038208121773
18,86.85434251695715
20,78.77960500284716
21,81.14222106506612
22,31.14855058939792
25,51.65476715815944
29,68.25403783536746
30,39.75629059431599
32,71.4076089029369
34,35.294806870415066
37,28.147694885705516
41,49.641837743384485
44,75.16487552369605
45,84.70428579364786
46,51.9890374584189
47,49.72495426221905
51,76.51487175718043
57,70.9807623922387
59,55.0673649417457
62,47.181316998892406
65,58.421749173530486
66,70.37647069660342
67,44.47723857318302
69,79.82836295030599
74,75.16495645325752
76,40.48346313690197
77,52.568288053932406
78,78.40473707723008
79,82.29200702343012
81,88.12097745207788
82,24.396035455924228
86,75.20135600165568
90,37.72687520177543
91,74.66315034737666
92,68.1966333702616
96,75.65639447523014
97,73.60645267031107
100,75.12132843268594
107,77.40993630877816
110,52.1719836373701
112,76.39916348439999
115,51.98159366359117
116,45.35408619844787
120,43.91619154284466
121,94.05397071803553
123,86.86040824548293
126,75.43930135527529
127,72.01820872840219
129,42.56023452191247
130,63.25216258407105
133,59.39390274963389
134,44.54242279879755
135,75.0730420820938
136,40.90674581323137
137,36.50074265504826
139,82.06041811216951
141,15.346333464244502
142,73.0550318114936
146,74.47466485616965
150,87.23134994958464
153,73.00710421226583
156,38.16411016525324
157,57.28600587683478
158,26.746578456317216
159,21.30936031774152
160,60.80976755288461
165,58.25266492637341
166,71.9271545772382
170,61.470976443125146
174,43.71682113619037
177,87.20960018231693
179,56.96092159065562
182,69.26436851221429
186,81.82450071662525
189,61.70587719146836
194,20.624302053807135
196,68.59315474362587
199,47.48229401571859
202,72.83707512279426
204,86.50571134871389
205,67.2806341070114
207,39.37384066934663
212,64.74457212836712
214,33.54893814896597
215,76.93054811390756
218,76.00778330555812
221,36.016122934534465
225,84.08877907827606
226,50.73825146512982
227,40.906083657382545
228,64.08864030913571
229,77.52571161416581
230,65.72574878902168
231,41.76027791126203
232,41.24846320463666
238,54.510580749843385
239,39.04755043818076
242,71.67170665969947
243,32.12340174644036
244,31.590843123891872
245,63.58941856221649
247,77.02516648200042
248,95.61857217047955
249,53.04792244216765
250,49.48493366846889
251,85.8231315580875
255,41.1896552443834
259,79.86557914526722
263,99.16055699326668
264,70.39501449435821
265,64.30251006209775
266,48.159343623452415
267,81.05562019653357
268,70.56546482638815
270,13.677802237424192
272,79.39254593571012
276,85.97476454404831
277,51.790037126699744
278,55.5627843900876
283,58.955004184558625
284,61.633212936922014
286,79.07636635162639
288,61.99912210611968
290,76.46676591007177
292,15.828379272879326
300,69.3001838119948
303,89.5550332663572
304,23.11128786212542
306,69.87383051775456
307,68.39512346297902
308,81.61093807069238
309,64.65068807156153
310,84.5395634016466
312,33.60463099172094
313,66.2385851479626
316,35.20264555028104
320,77.77314112498455
323,61.21315305507168
324,39.38876131483164
326,59.744829182047894
327,60.01453694887397
328,40.39288198597137
329,58.57857761094649
330,25.66327786469829
331,37.27088077661274
333,29.225867651079948
334,25.79600513434122
337,79.83800140920992
